TestDataID,Rating
1,4.2875195
2,4.1962185
3,4.128786
4,2.559151
5,3.291769
6,3.4768333
7,4.440204
8,3.2276964
9,2.8524885
10,2.494265
11,4.317944
12,3.3049603
13,3.3933244
14,3.4581919
15,3.3307524
16,3.664979
17,3.3161454
18,3.6687915
19,3.7102132
20,3.364704
21,3.5965261
22,3.5783424
23,3.7113044
24,2.9596455
25,3.076168
26,3.0578616
27,3.3454185
28,3.2125576
29,2.4108522
30,3.2993217
31,2.9939435
32,2.8326197
33,3.3409367
34,2.5815752
35,4.0436554
36,3.7382562
37,3.8718727
38,2.989858
39,3.3290627
40,2.3115282
41,3.1272492
42,3.7533023
43,2.2522786
44,3.7285147
45,3.5575447
46,3.4003775
47,3.2972908
48,3.9240632
49,3.4321752
50,3.549765
51,3.2671537
52,2.8722978
53,3.8513956
54,4.116065
55,3.9687202
56,3.3967443
57,4.06437
58,2.6794214
59,3.8266919
60,3.5823898
61,3.4700544
62,4.2071905
63,4.077058
64,4.2779484
65,4.4879217
66,3.9384952
67,4.178115
68,4.1303806
69,3.217012
70,4.4427443
71,3.1668797
72,4.3101807
73,3.0500221
74,4.247022
75,2.881374
76,2.7580442
77,4.22619
78,4.0367885
79,4.145557
80,4.1638865
81,4.068812
82,4.1723986
83,4.5681686
84,4.478648
85,4.5045075
86,3.730876
87,4.9526105
88,3.8997445
89,4.507268
90,4.069516
91,3.9836764
92,3.9432325
93,4.289405
94,4.391889
95,4.257752
96,3.9134164
97,4.169756
98,4.290788
99,4.088761
100,4.389134
101,3.7490487
102,4.073517
103,4.77736
104,4.0054755
105,3.0979197
106,3.9473653
107,3.9675746
108,4.462033
109,3.4995027
110,3.926217
111,4.494876
112,4.3967977
113,4.558217
114,3.4309435
115,4.0930467
116,2.5403461
117,4.0459313
118,3.3451428
119,3.277399
120,2.7247188
121,1.9264356
122,3.1884732
123,4.1190753
124,2.602917
125,2.8376236
126,4.386484
127,4.0288525
128,4.15022
129,3.1489878
130,2.9689398
131,3.4472537
